Date,Open,High,Low,Close,Adj Close,Volume
2007-07-18,57.660.000.000,57.660.000.000,56.903.000.000,57.556.000.000,57.556.000.000,0
2007-07-19,57.556.000.000,58.293.000.000,57.556.000.000,58.125.000.000,58.125.000.000,0
2007-07-20,58.125.000.000,58.125.000.000,57.103.000.000,57.443.000.000,57.443.000.000,36497000
2007-07-23,57.443.000.000,58.070.000.000,57.443.000.000,58.037.000.000,58.037.000.000,40731200
2007-07-24,58.036.000.000,58.057.000.000,55.165.000.000,55.795.000.000,55.795.000.000,61823000
2007-07-25,55.797.000.000,56.409.000.000,54.520.000.000,56.001.000.000,56.001.000.000,79978200
2007-07-26,55.998.000.000,55.998.000.000,52.627.000.000,53.893.000.000,53.893.000.000,80241800
2007-07-27,53.893.000.000,54.407.000.000,52.922.000.000,52.922.000.000,52.922.000.000,64166800
2007-07-30,52.925.000.000,54.790.000.000,52.925.000.000,54.573.000.000,54.573.000.000,46189400
2007-07-31,54.602.000.000,55.662.000.000,54.169.000.000,54.183.000.000,54.183.000.000,60286200
2007-08-01,54.170.000.000,54.234.000.000,53.036.000.000,54.234.000.000,54.234.000.000,60579400
2007-08-02,54.245.000.000,54.959.000.000,54.202.000.000,54.691.000.000,54.691.000.000,46542600
2007-08-03,54.697.000.000,54.725.000.000,52.575.000.000,52.846.000.000,52.846.000.000,83125000
2007-08-06,52.846.000.000,53.207.000.000,51.317.000.000,53.091.000.000,53.091.000.000,81613200
2007-08-07,53.092.000.000,54.113.000.000,52.746.000.000,53.802.000.000,53.802.000.000,37271000
2007-08-08,53.804.000.000,55.616.000.000,53.804.000.000,55.241.000.000,55.241.000.000,64404600
2007-08-09,55.213.000.000,55.213.000.000,53.324.000.000,53.431.000.000,53.431.000.000,50735200
2007-08-10,53.431.000.000,53.431.000.000,51.682.000.000,52.638.000.000,52.638.000.000,58812200
2007-08-13,52.647.000.000,53.670.000.000,52.202.000.000,52.434.000.000,52.434.000.000,48389000
2007-08-14,52.434.000.000,52.945.000.000,50.912.000.000,50.912.000.000,50.912.000.000,49403000
2007-08-15,50.912.000.000,51.286.000.000,49.106.000.000,49.285.000.000,49.285.000.000,108086200
2007-08-16,49.281.000.000,49.281.000.000,44.938.000.000,48.016.000.000,48.016.000.000,94943000
2007-08-17,48.026.000.000,49.588.000.000,46.877.000.000,48.559.000.000,48.559.000.000,69136800
2007-08-20,48.561.000.000,49.574.000.000,48.561.000.000,49.206.000.000,49.206.000.000,40150000
2007-08-21,49.208.000.000,50.064.000.000,48.739.000.000,49.815.000.000,49.815.000.000,25605200
2007-08-22,49.815.000.000,51.749.000.000,49.815.000.000,51.745.000.000,51.745.000.000,26165200
2007-08-23,51.745.000.000,52.351.000.000,51.082.000.000,51.848.000.000,51.848.000.000,18680600
2007-08-24,51.845.000.000,52.998.000.000,51.390.000.000,52.998.000.000,52.998.000.000,48704200
2007-08-27,52.995.000.000,53.396.000.000,52.502.000.000,53.078.000.000,53.078.000.000,23481800
2007-08-28,53.072.000.000,53.072.000.000,51.390.000.000,51.645.000.000,51.645.000.000,20718200
2007-08-29,51.648.000.000,52.810.000.000,51.647.000.000,52.735.000.000,52.735.000.000,20048400
2007-08-30,52.728.000.000,53.645.000.000,52.223.000.000,52.858.000.000,52.858.000.000,28670400
2007-08-31,52.874.000.000,54.715.000.000,52.874.000.000,54.637.000.000,54.637.000.000,46496600
2007-09-03,54.641.000.000,54.998.000.000,54.519.000.000,54.833.000.000,54.833.000.000,5239000
2007-09-04,54.834.000.000,55.566.000.000,54.588.000.000,55.250.000.000,55.250.000.000,9577600
2007-09-05,55.243.000.000,55.243.000.000,54.156.000.000,54.408.000.000,54.408.000.000,2828400
2007-09-06,54.413.000.000,55.094.000.000,54.413.000.000,54.569.000.000,54.569.000.000,5897800
2007-09-10,54.554.000.000,54.554.000.000,52.321.000.000,52.653.000.000,52.653.000.000,4085000
2007-09-11,52.660.000.000,53.954.000.000,52.660.000.000,53.921.000.000,53.921.000.000,4894200
2007-09-12,53.922.000.000,54.622.000.000,53.718.000.000,53.883.000.000,53.883.000.000,5599000
2007-09-13,53.883.000.000,55.087.000.000,53.883.000.000,54.908.000.000,54.908.000.000,3627600
2007-09-14,54.909.000.000,55.465.000.000,54.378.000.000,54.671.000.000,54.671.000.000,5843200
2007-09-17,54.671.000.000,54.733.000.000,53.691.000.000,54.341.000.000,54.341.000.000,4175800
2007-09-18,54.351.000.000,56.844.000.000,54.351.000.000,56.666.000.000,56.666.000.000,7547200
2007-09-19,56.675.000.000,58.079.000.000,56.675.000.000,57.264.000.000,57.264.000.000,7791400
2007-09-20,57.263.000.000,57.609.000.000,56.607.000.000,56.906.000.000,56.906.000.000,4655000
2007-09-21,56.919.000.000,57.899.000.000,56.919.000.000,57.799.000.000,57.799.000.000,7360400
2007-09-24,57.799.000.000,58.719.000.000,57.799.000.000,58.719.000.000,58.719.000.000,5824600
2007-09-25,58.717.000.000,58.862.000.000,57.969.000.000,58.858.000.000,58.858.000.000,3464800
2007-09-26,58.859.000.000,59.825.000.000,58.859.000.000,59.715.000.000,59.715.000.000,6099200
2007-09-27,59.713.000.000,61.052.000.000,59.713.000.000,61.052.000.000,61.052.000.000,6392800
2007-09-28,61.054.000.000,61.054.000.000,60.086.000.000,60.465.000.000,60.465.000.000,5429200
2007-10-01,60.465.000.000,62.355.000.000,60.465.000.000,62.340.000.000,62.340.000.000,15394000
2007-10-02,62.341.000.000,62.356.000.000,61.241.000.000,62.017.000.000,62.017.000.000,6097200
2007-10-03,62.021.000.000,62.021.000.000,60.094.000.000,60.099.000.000,60.099.000.000,6852200
2007-10-04,60.102.000.000,61.080.000.000,59.536.000.000,60.407.000.000,60.407.000.000,8710600
2007-10-05,60.408.000.000,62.704.000.000,60.408.000.000,62.319.000.000,62.319.000.000,9083000
2007-10-08,62.319.000.000,62.725.000.000,61.841.000.000,62.661.000.000,62.661.000.000,4076200
2007-10-09,62.661.000.000,63.658.000.000,62.661.000.000,63.549.000.000,63.549.000.000,7505800
2007-10-10,63.550.000.000,63.565.000.000,62.894.000.000,63.197.000.000,63.197.000.000,4719800
2007-10-11,63.197.000.000,64.169.000.000,61.487.000.000,62.456.000.000,62.456.000.000,5273600
2007-10-15,62.456.000.000,63.841.000.000,62.412.000.000,62.969.000.000,62.969.000.000,4598800
2007-10-16,62.965.000.000,62.965.000.000,61.565.000.000,61.718.000.000,61.718.000.000,4902600
2007-10-17,61.720.000.000,63.194.000.000,61.460.000.000,63.194.000.000,63.194.000.000,7642000
2007-10-18,63.192.000.000,63.322.000.000,61.943.000.000,63.261.000.000,63.261.000.000,4539800
2007-10-19,63.270.000.000,63.349.000.000,60.883.000.000,60.894.000.000,60.894.000.000,5454000
2007-10-22,60.884.000.000,61.379.000.000,59.473.000.000,61.215.000.000,61.215.000.000,4185400
2007-10-23,61.214.000.000,62.773.000.000,61.214.000.000,62.697.000.000,62.697.000.000,7591000
2007-10-24,62.693.000.000,62.816.000.000,61.448.000.000,62.625.000.000,62.625.000.000,7745200
2007-10-25,62.628.000.000,63.206.000.000,61.968.000.000,62.341.000.000,62.341.000.000,6487200
2007-10-26,62.346.000.000,64.320.000.000,62.346.000.000,64.276.000.000,64.276.000.000,6239600
